,B,Basophil,CD4,CD8,Eosinophil,Kupffer,Monocyte,NK,Neutrophil
FGG,0.0,0.0,0.0,0.0,0.0,8.101588524712623,0.0,0.0,0.0
FHL3,8.403918043224687,4.584642922368543,7.505088748886974,7.578389792145028,10.55648379350383,2.351535164362154,5.939821933046494,0.6351755292884604,6.2127050988747605
FKBP10,0.0,0.0,1.5480097416274912,3.8725296967553624,1.7239113307993192,0.6421156630600524,0.0,6.2187142632366275,0.0
FN1,1.5911237414776382,3.3169543590598947,2.2286050895402227,4.577234524874272,1.8248933278687829,3.467173531179418,14.300289781045144,3.2636450740708933,3.9060964379409207
FOLR2,0.574425577866985,0.0,0.0,0.0,0.0,15.047686230513863,0.0,0.0,0.0
FURIN,7.9346041669588265,9.810617013369274,8.883133139506434,8.370922339415271,12.153983808829418,8.813298679727847,9.82705779224913,9.487477773500615,9.258912347861006
FYN,9.256344789557296,11.196870283107714,11.921451135975927,11.840263903041958,6.977906062552415,10.525306094173635,8.346973203722163,13.742013927791604,5.103859884930326
G0S2,0.0,0.0,5.879664563403707,8.400777651045196,5.14820924339533,5.418627301167598,4.9449124966112095,8.456580749911286,12.28464721396792
GAL3ST1,0.0,0.0,0.0,1.0783875223974437,5.049359514679891,0.6659613537578766,2.8881765143969154,0.0,0.0
GATA2,0.0,14.912078773448176,0.0,2.8338971844885883,11.218447126290444,3.1041957782800447,3.4155612459779134,0.4032444612448506,0.0
GC,0.0,0.0,0.0,0.0,0.0,8.91412960065698,0.0,0.0,0.0
GCNT2,0.0,7.068539293560501,3.478476502920942,3.458298628201517,7.709002858727804,2.9925474232724394,6.418828134078189,2.329277428889733,13.551852075067993
GEM,8.397810774112909,4.067150760129401,6.1744857600195395,7.542890751877836,4.126844620434395,4.857767396754558,1.720469179590546,11.655898094191906,0.0
GJA1,0.21887807070205667,6.59587116833675,0.8556073280546139,0.0,2.1865815379426965,1.2603382584976985,2.5313264662356945,1.4570264471749321,0.0
GLIS2,3.191119879490728,2.0539967439614446,2.826742564141845,2.102379293274204,5.463853721843648,1.695096508811233,2.990852135979938,1.778514696911228,0.0
GLT28D2,2.1474164793622164,0.0,1.9882438785308754,0.5934741660423732,6.0870595347067376,0.0,0.0,0.0,0.0
GM10734,3.2086603095712505,7.321152161864829,0.8008818520225545,0.2183312375907002,4.089148891087559,3.9013585012780334,2.918655253910157,1.4687095658977636,0.0
GM15542,6.977074150574995,8.112005680590059,5.497867150735476,10.700211083570183,5.608168008413887,7.278866916003411,8.203577823004263,8.852993119615128,8.286451503465086
GM17018,8.252807958053207,9.888104103387512,10.135658759507715,11.95084016994181,9.492660726909854,9.236198745373423,9.260747225796411,9.237549989664684,8.958244588111143
GM17634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92800158940185,0.0
GM19696,0.0,0.0,1.977969660339047,2.8780032152244983,5.327108033992609,2.1794893469302963,0.0,1.829668731042822,11.383406417767905
GM2814,3.088516812480642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GM29408,5.619674104286883,15.10537753917451,6.456548180435524,7.101944188433906,7.860546740588026,4.1492431543606525,3.821141488285037,9.124221407879382,8.685768368096717
GM30025,4.567042779615489,0.0,5.065920290213121,6.79286601512522,3.9936914567545294,1.7761377439285742,4.181815963467597,3.788894346228988,2.4315148724414284
GM44096,0.0,0.0,0.0,0.0,8.666441539134674,0.0,0.0,1.7636149433871722,0.0
GM44805,0.0,0.0,0.0,0.0,0.0,4.745619274234876,7.354038281561387,0.0,0.0
GM47283,12.354138721025507,9.677088863601606,14.75401874031629,13.220248983979694,11.024819449527083,12.373227553492754,8.490254400406368,11.880123668267029,5.152633132841965
GM4737,0.0,3.666980145387785,0.0,9.273297631961338,0.0,0.0,6.724812746017076,0.0,0.0
GM5424,0.0,0.0,0.0,0.0,0.0,0.0,4.409018394580955,0.0,0.0
GM7926,3.8998871924891656,2.3546669098141138,2.964568856157966,0.0,0.0,0.0,7.455872396754046,2.829098628308273,2.7481881813240028
GM9320,4.540385177723753,5.34146603796653,6.336460294242844,7.872261537820723,5.9859716629927355,3.684474179771975,10.278090158525432,5.170026418985472,5.190962804353118
GNA14,0.9026088097800391,9.207638720999391,0.0,0.49603694156013556,2.110580123226833,2.884696477497307,1.8915414272760733,0.0,0.0
GNB4,5.99487732542157,10.219231729033208,6.64365575141264,4.667304371689241,4.172075025060382,6.285602119733729,4.993354670235192,7.606657893490312,1.3039730071917415
GPAT3,5.711679681504976,0.0,2.977987079646362,2.641469906722354,2.0073761037524003,4.214129385379755,3.6257132748360053,1.4941206707053942,9.661217406804996
GPC4,0.0,8.627876927078656,0.0,0.0,4.045550915407734,0.9324833307931018,0.0,0.0,0.0
GPIHBP1,0.0,0.0,0.0,0.0,0.0,8.637436218559154,0.0,0.0,0.0
GPRC5B,1.2096780620141643,0.9001155851284695,7.131722074186181,5.509142853086292,0.0,0.0,1.2251002475000763,0.0,0.0
GPRIN3,0.0740876205246787,0.0,3.6097118693081915,4.0287457169702225,0.0,0.0,4.552314753765062,7.586240604725179,0.0
GPX8,0.0,0.0,0.0,2.647958547913033,0.0,0.4104464241250713,0.0,8.289251564660924,0.0
GRB10,1.457981944531906,2.8659960021908777,0.20587056911272006,0.0,6.277015036395925,2.792938059542789,0.9829610007235834,0.0,0.0
GRHL1,4.082962211303616,0.0,6.058928278164368,2.4811259817029088,3.716088116121675,3.900814641436748,2.950894156550092,1.336854693803715,3.238313207863774
GSDME,0.4901353461802733,6.196182930461704,5.55434908491884,2.328406354083265,7.918938569985384,4.684237197203986,6.457198263895289,5.431938282583221,11.322982376347156
GYG,9.076880886748004,9.773308589330659,8.177501806060054,8.82021968735279,12.813437416802309,7.834928113355867,10.54151074524749,9.384922143544635,10.110263092655426
H2-Q10,8.991535748256844,7.529474389493101,9.228413222139048,9.990487326828571,5.356063919768361,8.133649532361645,5.905549281413113,8.861125782297469,15.209184478197747
H2-Q5,12.658809032486587,7.700729872213733,12.47801686436798,14.237278547779386,8.376150794321678,9.838839339719122,9.387973585952551,12.028114538529199,9.205517594656396
HBA-A1,4.092883284680571,7.3924128523061245,8.882172134586543,10.653486933131864,2.872930239455891,10.457926543361143,12.971363741128894,5.038653260483851,10.165286587515135
HBB-BS,7.037854310443819,8.341666403542604,8.024947319531748,10.629069657061715,3.892273845128388,11.012024957797546,14.07235344981708,5.831219806431438,10.238751048217264
HELZ2,11.843522770758682,6.6294484485677,8.975745054439352,8.904475605285343,7.449333795273439,8.231722963014192,7.90072361394347,7.2259442181461795,8.148627262507944
HGF,0.0,11.867608052125988,0.4990085202165466,0.8380596673045582,8.71547909493554,6.912438032889691,5.853241971876028,0.7381653278524665,8.556517473217166
HMGCS2,0.0,0.0,0.0,0.0,0.0,8.078350987832208,0.0,0.0,0.0
HMGN3,11.144311322908502,6.663420248691695,5.106492405299232,4.111273579806321,4.2238918488636745,3.441515049190791,7.420751841655285,3.7646953746845004,0.0
HNF1B,7.711140570121968,0.0,0.0,0.30098279528580435,0.0,0.0,0.0,0.0,0.0
HOMER2,0.0,8.177985850184058,0.0,0.0,3.1920196049164438,3.327512622890757,0.0,0.0,0.0
HPD,0.0,0.0,0.0,0.0,0.0,9.114393779479292,0.0,0.0,0.0
HPSE,7.95995637850006,4.615882663350902,2.1749569119402086,4.208771503016539,2.6559526448480644,3.3161203006562774,10.969009514399744,4.981337850404758,4.670986842018457
HSD11B1,5.272163489675115,4.364607900672425,10.217953226016995,10.790389613706896,4.811480376901585,6.076418620296602,8.366713275488477,12.983362172499467,10.093119459349625
HUNK,0.0,0.0,0.0,0.0,0.0,0.21548998738995315,0.0,0.0,5.275160954087358
ID2,6.604480870187743,11.110005376939498,10.45735390836017,11.550641461192354,12.740577356069174,13.82831989503487,9.849024364971601,16.3321746827733,10.070877032155199
IDO2,3.8678352503282167,0.0,0.0,0.0,0.0,1.07916700139122,0.0,0.0,0.0
IFI27L2B,0.0,3.284866396927495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFNGR1,8.985492173715173,9.598985737277669,12.167798767618233,11.688794643258316,10.308014979438642,12.975804162804604,12.047103153861883,15.0185355820139,12.235862517602909
IGHA,6.456548180435524,0.0,3.3469495684674717,12.316742544951307,2.8724733988713753,3.784979446211498,1.5808504579144271,1.1597361424943733,3.771355274509623
IGHM,19.363934033947068,8.489843942448001,13.381635795142426,14.065949383308833,11.304154474991005,6.95893096915045,12.966313412594,11.990868626923922,12.751986648864376
IGKC,19.85376989750452,4.455533516884465,10.547414198153362,14.95378454977433,4.79842656027183,8.689802836165057,4.828426270630296,7.423688490938003,10.810262994558887
IGSF5,0.0,0.0,0.0,0.7319091004687734,0.0,2.1322733616378433,0.0,5.888583582218084,0.0
IL17RB,1.166970134690723,7.953952304261322,3.9845402654092483,1.9776650797057895,3.4317787354458664,2.5703454723326518,3.6210899826827134,2.281427626667865,0.0
IL1B,2.846184056646006,0.0,0.0,8.00551672875167,5.9423147330248565,12.635782289708843,4.7305795116396645,2.2035332821422586,16.865678757786633
IL1F9,2.3514157972922805,3.2952947137215522,0.0,4.330342198952273,5.7273985386447706,0.7817109466335056,5.058685347770624,1.6314505751339279,13.862628533266934
IL2RB,6.166746486725886,0.0,9.242443244666926,11.897089789375093,0.4427210519683335,4.64891720297991,0.0,15.486286649392007,1.6793566755647475
IL4I1,13.161315630408936,3.723527215149569,6.885113905767215,6.193514064791982,5.638884835479233,7.4137276529616685,1.1964438688420187,4.724063791698118,6.650950548566728
INHBA,0.0,3.6725470814162664,0.574425577866985,0.10653207287854083,2.589574073231123,2.3146626106408643,2.5851380939433892,0.0,8.035050432707873
IRF6,1.715519244438528,0.0,7.488571873495075,4.845627358253363,2.912885654907212,2.2818940190691657,0.4828301233914963,1.467749720646216,0.0
ITGA4,10.009449758732819,6.992455277364632,9.400894311245395,9.471984784805125,8.400589579638075,7.742284571481343,10.188895895311394,13.125161318362956,10.740474398260236
ITGA9,0.9781122071544726,0.0,2.43705638117038,1.5682014786483207,0.32861401082617303,11.657579537854124,1.0246173872458084,0.21999092270209028,1.303007514181433
ITGB1,10.569174591343938,10.8050613524221,8.662256277654539,10.242197305149189,10.362343911756511,11.916340477945024,10.560455096106068,14.423745502744893,9.657968573363393
ITM2A,5.967652783575446,5.726290259637359,12.71958516036128,8.784770345521757,1.8004784763364252,1.6321017720773234,3.8089827210556,9.756507035156908,0.0
JAK1,11.501909443536478,12.873952195709995,12.404129425627573,11.617709498440497,10.3921461028505,11.482277060589446,10.220373067255869,15.199868183440783,12.228809568599862
JAM3,0.0,0.0,1.271044171306134,0.0,1.21048347708179,2.151459429079366,0.0,1.7704707904735915,7.352243210649802
KCNJ8,0.0,0.0,0.9737766199609533,6.823093762788561,2.7693145953856453,2.5591002089312043,0.0,8.544310832605442,6.040905283660376
KDELR3,3.6409369024455978,0.0,0.0,0.32456372935747657,8.378702950483719,2.6595578111635274,1.302518706550495,0.026719151274975067,0.0
KIT,2.4038473535070146,6.429232212800592,3.971699640909776,3.2705974433853813,5.237235291637066,2.8895968585831,5.079105627344036,8.786404562318765,5.020509870914442
KLF4,2.535909132884484,0.0,5.466775137490416,7.02611567458707,1.7538895055444206,7.924367793230131,11.586467769939649,2.8931143685625385,4.514898907168067
KLHL3,0.0,0.7675102490825667,6.316664570078716,4.520442320434663,0.07983782529221085,0.0,2.5862612223676984,0.20766041461767765,0.0
KMO,9.549547358449788,0.0,2.5559978727135855,4.552370025168864,2.952685855310013,5.328542229379249,6.928006161080795,3.4587796860337283,4.781918678284896
KNG1,0.0,0.0,0.0,0.0,0.0,7.9019189671230095,0.0,0.0,0.0
