,Monocyte,pair
"('Cholangiocyte', 'LSEC', 'NK')",0.6011,"('Cholangiocyte', 'LSEC', 'NK')"
"('Cholangiocyte', 'LSEC', 'Neutrophil')",0.3334,"('Cholangiocyte', 'LSEC', 'Neutrophil')"
"('Cholangiocyte', 'LSEC', 'Stellate')",0.7133,"('Cholangiocyte', 'LSEC', 'Stellate')"
"('Cholangiocyte', 'NK', 'Neutrophil')",0.3082,"('Cholangiocyte', 'NK', 'Neutrophil')"
"('Cholangiocyte', 'NK', 'Stellate')",0.6377,"('Cholangiocyte', 'NK', 'Stellate')"
"('Cholangiocyte', 'Neutrophil', 'Stellate')",0.4878,"('Cholangiocyte', 'Neutrophil', 'Stellate')"
"('Eosinophil', 'Hepatocyte', 'Kupffer')",0.0471,"('Eosinophil', 'Hepatocyte', 'Kupffer')"
"('Eosinophil', 'Hepatocyte', 'LSEC')",0.1949,"('Eosinophil', 'Hepatocyte', 'LSEC')"
"('Eosinophil', 'Hepatocyte', 'NK')",0.5687,"('Eosinophil', 'Hepatocyte', 'NK')"
"('Eosinophil', 'Hepatocyte', 'Neutrophil')",-0.1701,"('Eosinophil', 'Hepatocyte', 'Neutrophil')"
"('Eosinophil', 'Hepatocyte', 'Stellate')",0.5635,"('Eosinophil', 'Hepatocyte', 'Stellate')"
"('Eosinophil', 'Kupffer', 'LSEC')",-0.1518,"('Eosinophil', 'Kupffer', 'LSEC')"
"('Eosinophil', 'Kupffer', 'NK')",0.6453,"('Eosinophil', 'Kupffer', 'NK')"
"('Eosinophil', 'Kupffer', 'Neutrophil')",0.4688,"('Eosinophil', 'Kupffer', 'Neutrophil')"
"('Eosinophil', 'Kupffer', 'Stellate')",0.2144,"('Eosinophil', 'Kupffer', 'Stellate')"
"('Eosinophil', 'LSEC', 'NK')",0.6491,"('Eosinophil', 'LSEC', 'NK')"
"('Eosinophil', 'LSEC', 'Neutrophil')",0.2674,"('Eosinophil', 'LSEC', 'Neutrophil')"
"('Eosinophil', 'LSEC', 'Stellate')",0.5327,"('Eosinophil', 'LSEC', 'Stellate')"
"('Eosinophil', 'NK', 'Neutrophil')",0.4181,"('Eosinophil', 'NK', 'Neutrophil')"
"('Eosinophil', 'NK', 'Stellate')",0.7781,"('Eosinophil', 'NK', 'Stellate')"
"('Eosinophil', 'Neutrophil', 'Stellate')",0.4668,"('Eosinophil', 'Neutrophil', 'Stellate')"
"('Hepatocyte', 'Kupffer', 'LSEC')",-0.0583,"('Hepatocyte', 'Kupffer', 'LSEC')"
"('Hepatocyte', 'Kupffer', 'NK')",-0.012,"('Hepatocyte', 'Kupffer', 'NK')"
"('Hepatocyte', 'Kupffer', 'Neutrophil')",-0.0238,"('Hepatocyte', 'Kupffer', 'Neutrophil')"
"('Hepatocyte', 'Kupffer', 'Stellate')",-0.109,"('Hepatocyte', 'Kupffer', 'Stellate')"
"('Hepatocyte', 'LSEC', 'NK')",0.6544,"('Hepatocyte', 'LSEC', 'NK')"
"('Hepatocyte', 'LSEC', 'Neutrophil')",0.2951,"('Hepatocyte', 'LSEC', 'Neutrophil')"
"('Hepatocyte', 'LSEC', 'Stellate')",0.5747,"('Hepatocyte', 'LSEC', 'Stellate')"
"('Hepatocyte', 'NK', 'Neutrophil')",0.5468,"('Hepatocyte', 'NK', 'Neutrophil')"
"('Hepatocyte', 'NK', 'Stellate')",0.5099,"('Hepatocyte', 'NK', 'Stellate')"
"('Hepatocyte', 'Neutrophil', 'Stellate')",0.4576,"('Hepatocyte', 'Neutrophil', 'Stellate')"
"('Kupffer', 'LSEC', 'NK')",0.2737,"('Kupffer', 'LSEC', 'NK')"
"('Kupffer', 'LSEC', 'Neutrophil')",-0.0248,"('Kupffer', 'LSEC', 'Neutrophil')"
